model_number,original_model_number,grasp_set,original_model_tags,model_maker,model_text,model_source,model_description,barcode_text,acquisition_method,concave_filled,rotationally_symetric,inner_concavity,recognition_id
18789,9434,,"pitcher",Target,242.09.6219-pitcher,Target,"pitcher, polycarbonate, clear, Geo 7pc drinkware set",NaN,3dsom,TRUE,FALSE,TRUE,
18790,9435,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"box",Rite Aid,sterile_pads,Household,"box package, cardboard, box of 25 pads, 2""x2""",1182231258,3dsom,FALSE,FALSE,FALSE,
18791,9436,COMBINED_MODEL_SET,REDUCED_MODEL_SET,SIM_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"bottle",V8,v8_bottle,Household,"bottle, plastic, V8 juice, v-fusion veg+fruit, 46fl oz",5100018467,3dsom,FALSE,TRUE,FALSE,
18792,9437,,"mug",?,travel_mug,Household,"mug, travel, insulated, aluminum, black plastic trim",NaN,3dsom,TRUE,FALSE,TRUE,
18793,9438,,"glass",Target,242.02.5746,Target,"glass, acrylic Margarita, set of 4, blue, 9.5oz",7677000074,3dsom,TRUE,TRUE,TRUE,
18794,9439,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"bottle",Sushine Makers Inc.,simple_green,Household,"bottle, plastic, all purpose cleaner, 2 liters",4331813014,3dsom,FALSE,FALSE,FALSE,
18795,9443,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"tool",Black_and_Decker,power_scissors,Household,"tool, cordless, power scissors, model sz360or, 3.6v recharger",8591104461,3dsom,FALSE,FALSE,FALSE,
18796,9444,DEBUG_MODEL_SET,"can",East West Blend LLC,Chaibaby_tea,Household,"can, tea, white, metal, 1.4oz, 16 sachets, Chai-Baby brand",8907676167,3dsom,FALSE,TRUE,FALSE,
18797,9445,COMBINED_MODEL_SET,SIM_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"can",Rishi Tea,rishi_tea_jas,Household,"can, tea, white, metal, loose leaf tea, 3oz",4139106376,3dsom,,TRUE,FALSE,
18798,9446,COMBINED_MODEL_SET,REDUCED_MODEL_SET,SCHUNK_MODEL_SET,SIM_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"can",Penn,tennis_ball_can,Household,"canister, plastic, tennis balls",7248901001,3dsom,,TRUE,FALSE,
18799,9447,COMBINED_MODEL_SET,DEBUG_MODEL_SET,REDUCED_MODEL_SET,SIM_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"jar",Boots Healthcare USA Inc.,Clearasil_jar,Household,"jar, plastic, 90 clearasil pads, 9cm high x 7cm dia, white",NaN,3dsom,,TRUE,FALSE,
18800,9448,COMBINED_MODEL_SET,REDUCED_MODEL_SET,SIM_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"bottle",AMO Inc.,contact lens cleaner,Household,"botle, plastic, white, 12fl oz, Complete Moisture Plus",NaN,3dsom,,TRUE,FALSE,
18801,9449,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"box",Unilever,Dove_bar,Household,"carboard box containing Dove beauty bar, white, 120 grams",NaN,3dsom,,FALSE,FALSE,
18802,9450,COMBINED_MODEL_SET,REDUCED_MODEL_SET,SIM_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"bottle",CVA Pharmacy,hydrogen_peroxide_bottle,Household,"bottle, brown, 8fl oz, hydrogen peroxide",5042815269,3dsom,,TRUE,FALSE,
18803,9451,,"can",Gillette,shaving_foam_can_small,Household,"can, metal, shaving foam, 2oz",4740014500,3dsom,,TRUE,FALSE,
18804,9452,,"mug",Crate&Barrel,red_mug,Household,"mug, large, red, w/bumps",NaN,3dsom,,FALSE,TRUE,
18805,9453,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"jug",tropicana,orange juice jug,Household,"jug, plastic, white, orange juice, 89fl oz",4850001831,3dsom,,FALSE,FALSE,
18806,9454,COMBINED_MODEL_SET,COMPLEX_MODEL_SET,"box",Tazo,organic chai,Household,"box, cardboard, tazo tea, 1.9oz",9452221012,3dsom,,FALSE,FALSE,
18807,9455,COMBINED_MODEL_SET,REDUCED_MODEL_SET,SIM_MODEL_SET,TRAINING_AND_TEST_SET,TRAINING_SET,"can",Campbell Soup Co.,campbell_soup_can,Household,"can, metal, with label, campbell soup, net wt: 305g",5100001251,3dsom,,TRUE,FALSE,
18808,9456,COMBINED_MODEL_SET,REDUCED_MODEL_SET,SIM_MODEL_SET,TEST_SET,TRAINING_AND_TEST_SET,"can",Campbell Soup Co.,campbell_soup_handheld,Household,"can, plastic with insulated cover/label, campbell soup, handheld, net wt: 305g",5100014981,3dsom,,TRUE,FALSE,
18809,9457,NATE_MODEL_SET,"cylinder",Custom,cylinder_radius_0.02785_height_0.315,Custom,"custom cylinder, hieght 31.5 cm, radius 2.785 cm",NaN,manual,FALSE,TRUE,FALSE,
18812,9461,,"book,als_object",na,book,3dwarehouse,"book",NaN,cad,,FALSE,FALSE,
18813,9463,,"cell_phone,als_object",na,cell_phone,3dwarehouse,"cell_phone",NaN,cad,,FALSE,FALSE,
18814,9464,,"cordless_phone,als_object",na,cordless_phone,3dwarehouse,"cordless_phone",NaN,cad,,FALSE,FALSE,
18815,9465,,"fork,als_object",na,fork,3dwarehouse,"fork",NaN,cad,,FALSE,FALSE,
18816,9466,,"eyeglasses,als_object",na,eyeglasses,3dwarehouse,"eyeglasses",NaN,cad,,FALSE,FALSE,
18817,9467,,"lighter,als_object",na,lighter,3dwarehouse,"lighter",NaN,cad,,FALSE,FALSE,
18818,9468,,"medicine_pill,als_object",na,medicine_pill,3dwarehouse,"medicine_pill",NaN,cad,,FALSE,FALSE,
18819,9469,,"mug,als_object",na,mug,3dwarehouse,"mug",NaN,cad,,FALSE,FALSE,
18820,9470,,"pen,als_object",na,pen,3dwarehouse,"pen",NaN,cad,,FALSE,FALSE,
18821,9471,,"prescription_bottle,als_object",na,prescription_bottle,3dwarehouse,"prescription_bottle",NaN,cad,,FALSE,FALSE,
18822,9472,,"soap,als_object",na,soap,3dwarehouse,"soap",NaN,cad,,FALSE,FALSE,
18823,9473,,"spoon,als_object",na,spoon,3dwarehouse,"spoon",NaN,cad,,FALSE,FALSE,
18824,9474,,"straw,als_object",na,straw,3dwarehouse,"straw",NaN,cad,,FALSE,FALSE,
18825,9475,,"toothbrush,als_object",na,toothbrush,3dwarehouse,"toothbrush",NaN,cad,,FALSE,FALSE,
18826,9476,,"toothpaste,als_object",na,toothpaste,3dwarehouse,"toothpaste",NaN,cad,,FALSE,FALSE,
18827,9477,,"tv_remote,als_object",na,tv_remote,3dwarehouse,"tv_remote",NaN,cad,,FALSE,FALSE,
18828,9478,,"walking_cane,als_object",na,walking_cane,3dwarehouse,"walking_cane",NaN,cad,,FALSE,FALSE,
18829,9479,,"wallet,als_object",na,wallet,3dwarehouse,"wallet",NaN,cad,,FALSE,FALSE,
18830,9480,,"wrist_watch,als_object",na,wrist_watch,3dwarehouse,"wrist_watch",NaN,cad,,FALSE,FALSE,
18832,9482,PLATE_SET,"plate,als_object",na,plate,3dwarehouse,"plate",NaN,cad,,FALSE,FALSE,
18928,9581,,"tod,cheddar,food",Unknown,Amys bowls country cheddar,Household,"Amys bowls country cheddar",NaN,TOD,,FALSE,FALSE,0819c93d08805f1566500ec84398ab14
18929,9582,,"tod,cleaning,bottle",Unknown,Clorox,Household,"Bleach",NaN,TOD,,FALSE,FALSE,ed149575c2a44c1c095c5bc1b821c078
18930,9583,,"tod,food,box,eggs",Unknown,Egg Carton,Household,"A dozen eggs in an egg crate.",NaN,TOD,,FALSE,FALSE,ed149575c2a44c1c095c5bc1b80e72b8
18931,9584,,"tod,eggo,food,waffle",Unknown,Eggo,Household,"Eggo waffle",NaN,TOD,,FALSE,FALSE,ed149575c2a44c1c095c5bc1b80c3038
18932,9585,,"tod,mug",Unknown,face mug someother,Household,"a mug",NaN,TOD,,FALSE,FALSE,ffd915faafecfabce63d590572eed069
18933,9586,,"tod,""honey bunches"",food",Unknown,Honey Bunches,Household,"Honey Bunches",NaN,TOD,,FALSE,FALSE,ed149575c2a44c1c095c5bc1b8106d87
18934,9587,,"tod,card",Unknown,hotel card,Household,"Hotel card from Steve",NaN,TOD,,FALSE,FALSE,ae9da478dc2812ee09dcea5b6bf65dd7
18935,9588,,"tod,disney,toy,plastic",Unknown,Mini Mouse Bank,Household,"A plastic piggy bank, in the likeness of Mini Mouse.",NaN,TOD,,FALSE,FALSE,ed149575c2a44c1c095c5bc1b809f265
18936,9589,,"tod,cleaning,bottle",Unknown,Mop and Glo,Household,"cleaning",NaN,TOD,,FALSE,FALSE,ddd91bfc02fc42c0607bb07a31352fad
18937,9590,,"tod,drink,bottle",Unknown,Nantucket Watermelon Strawberry,Household,"A drink of fresh squeezed sugar.",NaN,TOD,,FALSE,FALSE,9ea7df9b7a472c4d79398019f7d574ff
18938,9591,,"tod,food,cerial,breakfast,box",Unknown,Nature's Path Organic Peanut Butter Granola,Household,"11.5 Oz box of organic granola cerial.",NaN,TOD,,FALSE,FALSE,43a7c5ba4f8f1c4bdd1e17801aa8ea97
18939,9592,,"tod,""oi ocha"",food",Unknown,Oi Ocha,Household,"Oi Ocha",NaN,TOD,,FALSE,FALSE,762492b41ad8ac5bb50adfde0829b46b
18940,9593,,"tod,plastic,electronics",Unknown,Remote Control,Household,"Normal TV remote.",NaN,TOD,,FALSE,FALSE,73ed03747038b5f25afc2c17cef31acf
18941,9594,,"tod,box,robot",Unknown,Robot Cards,Household,"Some robot themed playing cards.",NaN,TOD,,FALSE,FALSE,ed149575c2a44c1c095c5bc1b8300275
18942,9595,,"tod,poster,""robot power""",Unknown,Robot Power,Household,"A ROS poster. Robot Power!!",NaN,TOD,,FALSE,FALSE,ed149575c2a44c1c095c5bc1b82afc24
18943,9596,,"tod,poster,comic",Unknown,ROS PHD Comic,Household,"A PHD Comic about ROS.",NaN,TOD,,FALSE,FALSE,578e868adaf1a29b377504be293d5141
18944,9597,,"tod,sphaghettio,soup,food",Unknown,soup spaghettio,Household,"soup spaghettio",NaN,TOD,,FALSE,FALSE,b1624b278c569f46c5c144c2b7b53668
18945,9598,,"tod,sphaghetti,food",Unknown,sphaghetti,Household,"sphaghetti",NaN,TOD,,FALSE,FALSE,be36beee0cefc0ad389e506594f1e367
18946,9599,,"tod,beer,can",Unknown,Tecate,Household,"Tecate beer can.",NaN,TOD,,FALSE,FALSE,aec48af2ea447e23527cbf1b2e58dd94
18947,9600,,"tod,cleaning,bottle",Unknown,Tide 2x,Household,"Detergent",NaN,TOD,,FALSE,FALSE,ed149575c2a44c1c095c5bc1b824d7c8
18948,9601,,"tod,food,box",Unknown,Trader Joe's Paneer Tikka Masala,Household,"9 Oz box of Tikka Masala with spinach and basmati rice.",NaN,TOD,,FALSE,FALSE,bc1be2f2f609df0f198e701dc94f65bc
18949,9602,,"tod,ziplock,food",Unknown,ziplock,Household,"ziplock",NaN,TOD,,FALSE,FALSE,ed149575c2a44c1c095c5bc1b81f434f
18951,9605,,"transparent,cup,plastic",Unknown,sour cream,Household,"a plastic cup",NaN,transparent_objects,,FALSE,FALSE,1acfa3a425f5637f958c0eaff31fe42d
18952,9607,,"transparent,cup,plastic",Unknown,small cup,Household,"a plastic cup",NaN,transparent_objects,,FALSE,FALSE,802b29d49fe0f73e3e85220f8b757b05
18953,9608,,"transparent,glass",Unknown,tall glass,Household,"a glass",NaN,transparent_objects,,FALSE,FALSE,938209ce3d076c79724b8887ca57d5d4
18954,9609,,"transparent,glass,bottle",Unknown,boss bottle,Household,"a glass bottle",NaN,transparent_objects,,FALSE,FALSE,004e4c64a4f70505774ec8098ad47342
18955,9610,,"transparent,glass,ball",Unknown,valentino ball,Household,"a glass ball",NaN,transparent_objects,,FALSE,FALSE,33291d0ffba22e7eb65663824a3b7f6f
18956,9611,,"transparent,plasstic,wineglass",Unknown,wine glass,Household,"a plastic wine glass",NaN,transparent_objects,,FALSE,FALSE,615f59d0498ac8f893ed10a707b47311
18957,9612,,"transparent,glass,box",Unknown,boss box,Household,"a glass box",NaN,transparent_objects,,FALSE,FALSE,d28d3155056e59dcd8dbadbc8b3c1375
18958,9613,,"translucent,cup,plastic",Unknown,yellow cup,Household,"a yellow cup",NaN,transparent_objects,,FALSE,FALSE,fdc5491af03dbafdbaa1703e62f565e3
18959,9614,,"transparent,glass",Unknown,small glass,Household,"a small glass",NaN,transparent_objects,,FALSE,FALSE,6906eae2bc5558d85f0f9fd588893b9d
18960,9615,,"translucent,bottle,glass",Unknown,curved bottle,Household,"a curved bottle",NaN,transparent_objects,,FALSE,FALSE,db9c0c0aa659467ad26ec830d90dc643
18961,9616,,"translucent,mug,glass",Unknown,small mug,Household,"a small mug",NaN,transparent_objects,,FALSE,FALSE,cee6ed13ec62d1d15b29264c34f44088
18962,9617,,"transparent,bowl,glass",Unknown,glass bowl,Household,"a glass bowl",NaN,transparent_objects,,FALSE,FALSE,0025369cba57299e3ff70c7323842f95
18963,9618,,"tod,graspable,box,small",Unknown,arm and hammer,Household,"arm and hammer",NaN,TOD,,FALSE,FALSE,08c7fbe297035e4227fd4aad7d0920b7
18964,9619,,"tod,graspable,box,small",Unknown,black pepper,Household,"black pepper",NaN,TOD,,FALSE,FALSE,08c7fbe297035e4227fd4aad7d0c6361
18965,9620,,"tod,graspable,mustard,food,bottle,squeeze",Unknown,french's mustard,Household,"french's mustard",NaN,TOD,,FALSE,FALSE,08c7fbe297035e4227fd4aad7d05d834
18966,9621,,"tod,graspable,spray",Unknown,pledge,Household,"pledge",NaN,TOD,,FALSE,FALSE,08c7fbe297035e4227fd4aad7d031ff9
18967,9622,,"tod,graspable,detergent",Unknown,woolite,Household,"woolite",NaN,TOD,,FALSE,FALSE,08c7fbe297035e4227fd4aad7d0007af
18968,9623,,"powder,cleanser,canister,cylinder",Unknown,Bon Ami,Household,"Bon Ami",NaN,TOD,,FALSE,FALSE,40c6009161e40eaadb752c9a8000130b
18969,9624,,"Pam,olive,oil,can,cylinder",Unknown,Pam,Household,"Pam",NaN,TOD,,FALSE,FALSE,40c6009161e40eaadb752c9a80077fb3
18970,9625,,"Kona,Coffee,soda,can,cylinder",Unknown,Kona Coffee Can,Household,"Kona Coffee Can",NaN,TOD,,FALSE,FALSE,40c6009161e40eaadb752c9a8009563b
18972,9627,,"",target,big_bowl,Household,"",NaN,TOD,,FALSE,FALSE,
18973,9628,,"",target,big_plate,Household,"",NaN,TOD,,FALSE,FALSE,
18974,9629,,"",target,little_bowl,Household,"",NaN,TOD,,FALSE,FALSE,
18975,9631,SUSHI_MODEL_SET,"bowl,sushi",target,little_sushi_bowl,Household,"",NaN,TOD,,FALSE,FALSE,
18976,9632,SUSHI_MODEL_SET,"bowl,sushi",target,big_sushi_bowl,Household,"",NaN,TOD,,FALSE,FALSE,
18977,9633,SUSHI_MODEL_SET,"cup,sushi",target,little_sushi_cup,Household,"",NaN,TOD,,FALSE,FALSE,
18978,9634,SUSHI_MODEL_SET,"cup,sushi",target,big_sushi_cup,Household,"",NaN,TOD,,FALSE,FALSE,
18979,9635,SUSHI_MODEL_SET,"plate,sushi",target,little_sushi_plate,Household,"",NaN,TOD,,FALSE,FALSE,
18980,9636,SUSHI_MODEL_SET,"plate,sushi",target,big_sushi_plate,Household,"",NaN,TOD,,FALSE,FALSE,
