original_object_number;original_model_grasping_rescale;original_model_tags;model_maker;model_text;model_source;model_description;barcode_text;acquisition_method;concave_filled;rotationally_symetric;inner_concavity;recognition_id
9592;1;tod,"oi ocha",food;Unknown;Oi Ocha;Household;Oi Ocha;;TOD;;FALSE;FALSE;762492b41ad8ac5bb50adfde0829b46b
9593;1;tod,plastic,electronics;Unknown;Remote Control;Household;Normal TV remote.;;TOD;;FALSE;FALSE;73ed03747038b5f25afc2c17cef31acf
9594;1;tod,box,robot;Unknown;Robot Cards;Household;Some robot themed playing cards.;;TOD;;FALSE;FALSE;ed149575c2a44c1c095c5bc1b8300275
9595;1;tod,poster,"robot power";Unknown;Robot Power;Household;A ROS poster. Robot Power!!;;TOD;;FALSE;FALSE;ed149575c2a44c1c095c5bc1b82afc24
9596;1;tod,poster,comic;Unknown;ROS PHD Comic;Household;A PHD Comic about ROS.;;TOD;;FALSE;FALSE;578e868adaf1a29b377504be293d5141
9597;1;tod,sphaghettio,soup,food;Unknown;soup spaghettio;Household;soup spaghettio;;TOD;;FALSE;FALSE;b1624b278c569f46c5c144c2b7b53668
9598;1;tod,sphaghetti,food;Unknown;sphaghetti;Household;sphaghetti;;TOD;;FALSE;FALSE;be36beee0cefc0ad389e506594f1e367
9599;1;tod,beer,can;Unknown;Tecate;Household;Tecate beer can.;;TOD;;FALSE;FALSE;aec48af2ea447e23527cbf1b2e58dd94
9600;1;tod,cleaning,bottle;Unknown;Tide 2x;Household;Detergent;;TOD;;FALSE;FALSE;ed149575c2a44c1c095c5bc1b824d7c8
9601;1;tod,food,box;Unknown;Trader Joe's Paneer Tikka Masala;Household;9 Oz box of Tikka Masala with spinach and basmati rice.;;TOD;;FALSE;FALSE;bc1be2f2f609df0f198e701dc94f65bc
9602;1;tod,ziplock,food;Unknown;ziplock;Household;ziplock;;TOD;;FALSE;FALSE;ed149575c2a44c1c095c5bc1b81f434f
9605;1;transparent,cup,plastic;Unknown;sour cream;Household;a plastic cup;;transparent_objects;;FALSE;FALSE;1acfa3a425f5637f958c0eaff31fe42d
9607;1;transparent,cup,plastic;Unknown;small cup;Household;a plastic cup;;transparent_objects;;FALSE;FALSE;802b29d49fe0f73e3e85220f8b757b05
9608;1;transparent,glass;Unknown;tall glass;Household;a glass;;transparent_objects;;FALSE;FALSE;938209ce3d076c79724b8887ca57d5d4
9609;1;transparent,glass,bottle;Unknown;boss bottle;Household;a glass bottle;;transparent_objects;;FALSE;FALSE;004e4c64a4f70505774ec8098ad47342
9610;1;transparent,glass,ball;Unknown;valentino ball;Household;a glass ball;;transparent_objects;;FALSE;FALSE;33291d0ffba22e7eb65663824a3b7f6f
9611;1;transparent,plasstic,wineglass;Unknown;wine glass;Household;a plastic wine glass;;transparent_objects;;FALSE;FALSE;615f59d0498ac8f893ed10a707b47311
9612;1;transparent,glass,box;Unknown;boss box;Household;a glass box;;transparent_objects;;FALSE;FALSE;d28d3155056e59dcd8dbadbc8b3c1375
9613;1;translucent,cup,plastic;Unknown;yellow cup;Household;a yellow cup;;transparent_objects;;FALSE;FALSE;fdc5491af03dbafdbaa1703e62f565e3
9614;1;transparent,glass;Unknown;small glass;Household;a small glass;;transparent_objects;;FALSE;FALSE;6906eae2bc5558d85f0f9fd588893b9d
9615;1;translucent,bottle,glass;Unknown;curved bottle;Household;a curved bottle;;transparent_objects;;FALSE;FALSE;db9c0c0aa659467ad26ec830d90dc643
9616;1;translucent,mug,glass;Unknown;small mug;Household;a small mug;;transparent_objects;;FALSE;FALSE;cee6ed13ec62d1d15b29264c34f44088
9617;1;transparent,bowl,glass;Unknown;glass bowl;Household;a glass bowl;;transparent_objects;;FALSE;FALSE;0025369cba57299e3ff70c7323842f95
9618;1;tod,graspable,box,small;Unknown;arm and hammer;Household;arm and hammer;;TOD;;FALSE;FALSE;08c7fbe297035e4227fd4aad7d0920b7
9619;1;tod,graspable,box,small;Unknown;black pepper;Household;black pepper;;TOD;;FALSE;FALSE;08c7fbe297035e4227fd4aad7d0c6361
9620;1;tod,graspable,mustard,food,bottle,squeeze;Unknown;french's mustard;Household;french's mustard;;TOD;;FALSE;FALSE;08c7fbe297035e4227fd4aad7d05d834
9621;1;tod,graspable,spray;Unknown;pledge;Household;pledge;;TOD;;FALSE;FALSE;08c7fbe297035e4227fd4aad7d031ff9
9622;1;tod,graspable,detergent;Unknown;woolite;Household;woolite;;TOD;;FALSE;FALSE;08c7fbe297035e4227fd4aad7d0007af
9623;1;powder,cleanser,canister,cylinder;Unknown;Bon Ami;Household;Bon Ami;;TOD;;FALSE;FALSE;40c6009161e40eaadb752c9a8000130b
9624;1;Pam,olive,oil,can,cylinder;Unknown;Pam;Household;Pam;;TOD;;FALSE;FALSE;40c6009161e40eaadb752c9a80077fb3
9625;1;Kona,Coffee,soda,can,cylinder;Unknown;Kona Coffee Can;Household;Kona Coffee Can;;TOD;;FALSE;FALSE;40c6009161e40eaadb752c9a8009563b
9627;1;;target;big_bowl;Household;;;TOD;;FALSE;FALSE;
9628;1;;target;big_plate;Household;;;TOD;;FALSE;FALSE;
9629;1;;target;little_bowl;Household;;;TOD;;FALSE;FALSE;
9631;1;bowl,sushi;target;little_sushi_bowl;Household;;;TOD;;FALSE;FALSE;
9632;1;bowl,sushi;target;big_sushi_bowl;Household;;;TOD;;FALSE;FALSE;
9633;1;cup,sushi;target;little_sushi_cup;Household;;;TOD;;FALSE;FALSE;
9634;1;cup,sushi;target;big_sushi_cup;Household;;;TOD;;FALSE;FALSE;
9635;1;plate,sushi;target;little_sushi_plate;Household;;;TOD;;FALSE;FALSE;
9636;1;plate,sushi;target;big_sushi_plate;Household;;;TOD;;FALSE;FALSE;
